7188	dummy	1	1407470400
430	dummy	1	1376539200
3134	dummy	1	1369713600
3026	dummy	1	1350014400
3010	dummy	1	1347854400
804	dummy	1	1337572800
160	dummy	1	1394683200
95	dummy	1	1384578000
377	dummy	1	1414728000
888	dummy	1	1365652800
89	dummy	1	1351742400
1901	dummy	1	1411790400
161	dummy	1	1413345600
256	dummy	1	1342584000
351	dummy	1	1416373200
3329	dummy	1	1389934800
3341	dummy	1	1388984400
649	dummy	1	1384491600
1583	dummy	1	1380945600
87	dummy	1	1381809600
37	dummy	1	1374033600
309	dummy	1	1378353600
821	dummy	1	1368676800
1496	dummy	1	1394168400
637	dummy	1	1364961600
964	dummy	1	1350100800
594	dummy	1	1370836800
2249	dummy	1	1360386000
554	dummy	1	1346126400
20	dummy	1	1343275200
2227	dummy	1	1353301200
1315	dummy	1	1334635200
519	dummy	1	1344571200
1316	dummy	1	1332216000
2149	dummy	1	1326949200
1724	dummy	1	1322802000
18	dummy	1	1315022400
57	dummy	1	1314158400
118	dummy	1	1414123200
3254	dummy	1	1373342400
1177	dummy	1	1371009600
112	dummy	1	1355634000
11	dummy	1	1374984000
586	dummy	1	1314763200
35	dummy	1	1330578000
15	dummy	1	1319860800
1445	dummy	1	1309752000
152	dummy	1	1354078800
2	dummy	1	1411963200
113	dummy	1	1311307200
44	dummy	1	1415854800
2401	dummy	1	1390626000
10	dummy	1	1375243200
2378	dummy	1	1378612800
126	dummy	1	1374206400
3245	dummy	1	1369972800
783	dummy	1	1368676800
493	dummy	1	1362114000
1358	dummy	1	1372737600
1180	dummy	1	1378267200
529	dummy	1	1361595600
333	dummy	1	1357275600
1538	dummy	1	1358744400
2282	dummy	1	1353819600
1519	dummy	1	1363924800
2966	dummy	1	1342238400
474	dummy	1	1346817600
330	dummy	1	1381377600
958	dummy	1	1363579200
17	dummy	1	1330837200
1295	dummy	1	1329541200
38	dummy	1	1354165200
1952	dummy	1	1305518400
223	dummy	1	1304395200
625	dummy	1	1293426000
1392	dummy	1	1418101200
3355	dummy	1	1414990800
1881	dummy	1	1404964800
58	dummy	1	1412654400
96	dummy	1	1410148800
1580	dummy	1	1392526800
196	dummy	1	1391576400
146	dummy	1	1390885200
416	dummy	1	1391835600
1198	dummy	1	1390453200
3319	dummy	1	1387256400
1867	dummy	1	1396411200
896	dummy	1	1384059600
617	dummy	1	1383886800
3300	dummy	1	1380254400
1877	dummy	1	1378353600
462	dummy	1	1378353600
3279	dummy	1	1375675200
454	dummy	1	1387256400
1860	dummy	1	1371182400
121	dummy	1	1370318400
151	dummy	1	1376366400
1570	dummy	1	1373688000
1573	dummy	1	1408939200
1063	dummy	1	1365912000
1353	dummy	1	1402200000
459	dummy	1	1372910400
